source_id,name,url,coverage,languages,content_type,access_mode,bulk_access,format,rights_or_constraints,priority,status,next_action
SRC-001,Perseus Canonical Greek Literature,https://github.com/PerseusDL/canonical-greekLit,Canonical ancient Greek literature,Ancient Greek and some translations,Edition texts,public repository,git clone,TEI XML,"Generally CC BY-SA 4.0; inspect individual headers",highest,verified,clone and inventory authors works editions
SRC-002,Perseus Canonical Latin Literature,https://github.com/PerseusDL/canonical-latinLit,Canonical Latin literature,Latin and some translations,Edition texts,public repository,git clone,TEI XML,"Generally CC BY-SA 4.0; inspect individual headers",highest,verified,clone and inventory authors works editions
SRC-003,First1KGreek,https://github.com/OpenGreekAndLatin/First1KGreek,Greek works from Homer through roughly 250 CE with emphasis beyond Perseus,Ancient Greek,Edition texts,public repository,git clone,CTS-compliant TEI XML,CC-licensed collection with edition-level metadata,highest,verified,clone and inventory likely arithmological authors
SRC-004,Opera Graeca Adnotata,https://github.com/OperaGraecaAdnotata/OGA,Annotated aggregation of Perseus and Open Greek and Latin,Ancient Greek,Linguistically annotated corpus,public repository or release,repository or release download,CoNLL-U and CTS-aligned data,Open-access derived corpus; verify release license,high,lead verified,locate current release and compare coverage with source repos
SRC-005,Patristic Text Archive,https://github.com/PatristicTextArchive/pta_data,Open ancient Christian texts,Greek Latin Syriac Armenian Georgian Coptic and others,Edition texts and translations,public Git repository plus CTS API and Zenodo snapshots,git clone or versioned Zenodo release,CTS-aligned TEI P5,Open access with item-level CC licenses and some exceptions,highest,acquired,inventory 1253 XML files and overlap with existing Greek and Latin shelves; local commit 524eb9763b1181bc9f14edf52943bfe2f7a43aed
SRC-006,Patrologia Graeca OCR Corpus,https://zenodo.org/records/19915273,OCR of previously non-digital Patrologia Graeca materials,Ancient and Byzantine Greek,Lemmatized OCR corpus,public dataset,103.1 MB ZIP and GitHub raw data,Sketch Engine XML with linguistic markup,CC BY 4.0,highest,verified,download Zenodo v3 and record checksum
SRC-007,Corpus Corporum,https://mlat.uzh.ch/,Large Latin meta-repository from antiquity through early modernity,Latin,Edition and repository texts,open searchable repository,per-text TEI download where provider allows,TEI-like XML,Noncommercial reuse; provider restrictions vary,highest,verified,export corpus catalog and identify bulk-download route
SRC-008,openMGH,https://www.mgh.de/en/digital-mgh/openmgh,Medieval Latin editions in Monumenta Germaniae Historica,Latin,Edition texts,open repository,per-volume TEI downloads,TEI P5,CC BY 4.0,high,verified,download catalog and all available TEI volumes
SRC-009,Sefaria Export,https://github.com/Sefaria/Sefaria-Export,Structured Jewish textual library including biblical rabbinic philosophical mystical and commentary traditions,Hebrew Aramaic English and others,Texts metadata and intertext links,public object storage,"26 GB all-format export or one-format acquisition via books.json",JSON TXT CLTK and CSV,Version-level rights vary and must be preserved per edition,highest,acquired,all 26322 planned JSON objects validated with zero missing or failed; 19705 text versions plus 6595 schemas and 22 link or metadata objects; rights retained per version in corpus_manifest.csv
SRC-010,Coptic SCRIPTORIUM Corpora,https://github.com/CopticScriptorium/corpora,Coptic literary and documentary corpora including Christian materials,Coptic and translations,Edition texts and linguistic annotations,public repository with Zenodo-archived releases,release archive or git clone,TEI XML CoNLL-U PAULA relANNIS and TreeTagger SGML,Mostly CC BY 3.0 or 4.0 with documented collection-level exceptions,high,acquired,inventory 1458 XML and 1717 CoNLL-U files and deduplicate parallel representations and witnesses; local commit d6332e37c7f92c737f51deb4f6e7ee872bfd603f
